lesion_id,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
IL_0006205,0.06656994,0.024422403,4.1256942e-05,0.13991652,3.7987604e-05,2.4790066e-05,0.00010217855,0.00026465743,0.0007467075,0.7678305,4.305282e-05
IL_0025400,0.989486,0.0016550698,6.5431465e-07,0.006170269,3.4866508e-07,3.7030686e-06,7.717148e-07,1.1365828e-05,3.4307462e-07,0.0026715242,3.1410785e-08
IL_0039001,0.0001613584,0.00033987252,0.015083847,0.01434007,0.0010444758,0.0028242427,8.584518e-05,0.03944934,0.6609152,4.338179e-05,0.2657124
IL_0046799,1.0437566e-05,1.3197679e-05,6.3554833e-09,0.00014778253,1.8881072e-07,5.2446396e-08,4.8638764e-08,4.907387e-07,1.5752138e-07,0.9998276,6.0839196e-09
IL_0054262,0.0140707465,0.17417218,0.0028439679,0.015152975,0.51709515,0.012370796,0.0072276928,0.007991946,0.24244349,0.0063380995,0.00029293713
IL_0056788,0.7409855,0.07075165,1.630196e-05,0.12806536,1.0909083e-05,4.657981e-05,2.071547e-05,7.532115e-05,4.569502e-06,0.06002247,4.8787064e-07
IL_0093956,0.0022436744,0.9366528,0.000661172,0.00058344164,2.1207461e-05,0.058067493,7.198035e-05,9.348643e-05,0.0008383782,0.0006312179,0.00013511693
IL_0103904,0.8280617,0.15370119,6.4930587e-06,0.0026309197,4.5275588e-06,2.7664204e-05,3.0560688e-05,3.9560768e-05,4.5421482e-05,0.015451639,2.7472043e-07
IL_0118369,1.1561109e-06,1.5008465e-05,0.00032241142,0.00014438602,5.42472e-05,4.8817146e-05,8.580976e-06,0.13790485,0.8614616,4.7008638e-07,3.850553e-05
IL_0151990,0.00024705645,3.972386e-06,0.009312616,0.37154582,1.7722481e-05,3.412152e-05,6.555652e-05,0.52625847,0.09250896,2.618098e-06,3.1174618e-06
IL_0171236,0.0624129,0.31408024,0.009109515,0.005431827,0.00212208,0.005275287,0.0003173195,0.38473463,0.06950532,0.041842192,0.10516859
IL_0183960,0.0016145183,0.20562442,0.55359393,0.0013947065,0.0011399547,0.004506807,0.009047551,0.08691654,0.102581516,0.0049077636,0.028672304
IL_0207706,5.8023414e-07,1.3693617e-06,5.9343118e-05,0.00016298944,9.483419e-07,9.319001e-07,6.9906114e-06,0.9988148,0.0009518299,8.84697e-08,8.078783e-08
IL_0207891,0.0016474575,0.034699563,2.4353114e-05,0.57889885,0.006858174,0.00014725262,0.00027498897,0.00014893271,0.0010308636,0.37626025,9.301585e-06
IL_0225203,0.0038647498,0.029329397,0.0020094842,0.040204596,0.0008648736,0.0048489296,0.0041434392,0.09997323,0.8140756,0.0002387258,0.00044705483
IL_0227635,0.9532714,0.008765979,6.428352e-06,0.025229815,1.8832563e-05,0.00029866205,3.26071e-05,0.00034283107,9.796198e-06,0.012021061,2.6058337e-06
IL_0259815,0.00078512775,0.032762736,0.007424984,0.023749115,0.00025217907,0.00018549532,0.0047131525,0.89862454,0.030868024,0.0005370368,9.7567834e-05
IL_0260810,0.0027881805,0.84049356,0.00019727531,0.009146879,0.00030066894,0.0012352539,0.0047818045,0.06906603,0.04764352,0.0026748208,0.021671988
IL_0262469,0.0003274704,1.3702627e-05,7.687633e-05,0.9987903,2.0950667e-06,2.4527217e-06,1.9875954e-06,0.00015458858,0.00062754174,3.0628862e-06,2.5667457e-08
IL_0267598,0.0017558886,0.0008554854,2.678668e-05,0.55218625,1.316801e-05,3.2977572e-05,5.1171937e-05,0.0007208803,0.44434348,1.3601539e-05,3.1465018e-07
IL_0312376,0.37503353,0.53199,6.0996907e-05,0.0784249,0.00016314189,0.00048156237,0.0019353966,0.009126938,0.0013277698,0.0014462565,9.570201e-06
IL_0331012,0.0023615225,0.9791555,6.924022e-05,0.005627937,2.8238803e-05,0.00015326202,0.00022572726,1.5117188e-05,0.004201218,0.008157824,4.4156195e-06
IL_0344325,0.00018668304,0.09596276,0.12466111,0.0007356131,0.0012582474,0.7170834,0.00026234207,0.0018147781,0.057743613,0.00022286469,6.853905e-05
IL_0403731,0.046098653,0.010290294,4.5851743e-06,0.5391166,4.2942786e-05,2.8326525e-05,1.4910228e-05,0.00013037311,3.3562283e-05,0.40423763,2.124996e-06
IL_0404181,0.16675241,0.6775604,1.3342526e-05,0.1388624,0.00049504783,1.2539989e-05,0.00013412548,0.00030743406,5.8977035e-05,0.015799629,3.7379252e-06
IL_0465184,0.00014826492,0.9741125,8.186027e-06,0.023775343,5.72838e-05,4.63295e-06,2.1533275e-05,6.290074e-05,1.4334093e-05,0.0017919207,3.067583e-06
IL_0492696,7.732618e-07,8.64463e-06,9.133736e-06,4.5530134e-05,2.4026365e-06,8.242976e-06,5.8787878e-06,0.0047228094,0.9951964,3.036267e-08,1.7802584e-07
IL_0560781,0.006487927,0.0033565676,0.03068493,0.03192692,0.05504354,0.6853781,0.00033608804,0.1767728,0.009172745,0.0007998028,4.0612027e-05
IL_0575017,5.0384024e-05,9.29018e-05,0.0011092819,0.5798182,8.6120526e-05,0.003614219,1.2592907e-05,0.0017871115,0.4134068,2.0767759e-05,1.58256e-06
IL_0578791,0.0013578384,0.97960734,0.000111003086,0.0015968652,1.2143884e-05,0.00013414107,0.00017271243,0.014034475,0.0003351268,0.0026308922,7.418885e-06
IL_0611781,0.00019918608,0.9953993,0.00026207897,0.0009242863,1.6443723e-06,0.00013184985,7.759115e-05,5.6771656e-05,0.0024477257,0.00045192736,4.754845e-05
IL_0649132,0.00010607751,0.00014814417,1.3797175e-05,0.99915254,1.2220711e-06,1.4225895e-06,1.6864999e-06,6.1522333e-06,0.00053091085,3.7956004e-05,8.643056e-08
IL_0704269,0.26376745,0.2224665,0.0004943772,0.101330906,0.0034163876,0.027278557,0.0003599886,0.0036534965,0.11351554,0.26351404,0.00020274548
IL_0718371,0.0056894682,0.0004508404,9.959232e-06,0.030331101,3.026766e-05,2.5335274e-05,8.264213e-06,0.00018349345,5.5837118e-05,0.9632115,3.835168e-06
IL_0721442,0.20464182,0.07677667,0.00022410508,0.48985878,0.000121507655,5.993849e-05,6.806173e-05,0.0010800639,0.00010393378,0.2270415,2.3562457e-05
IL_0754056,0.13847733,0.02579786,0.00035818678,0.07862246,0.00041853715,0.0025425311,0.00020786622,0.04176444,0.00020717276,0.7115088,9.474311e-05
IL_0808321,0.009633883,0.02672108,0.025187995,0.68064195,0.00022233475,0.009845312,0.00045847497,0.24671215,0.00037487104,0.00019764551,4.2917904e-06
IL_0854378,0.69305843,0.2799932,9.8066985e-06,0.004614105,1.4071762e-06,7.354372e-05,4.2656164e-05,2.7869572e-05,0.000105209256,0.022073314,5.344004e-07
IL_0895462,0.0022059202,0.8978426,2.9609339e-05,0.09768256,0.00049681956,1.4368096e-05,0.00047070414,0.00042813818,0.0004288783,0.00038676668,1.3700906e-05
IL_0928130,0.0028276567,0.036729645,0.031049551,0.011689152,0.00083427137,0.00096980337,0.01470137,0.86388934,0.034026578,0.002078765,0.0012038843
IL_0977585,6.41666e-05,0.00035665263,2.7127217e-06,0.011099426,6.2971453e-06,2.6157145e-06,1.6546707e-06,2.1258238e-05,6.4102736e-05,0.9883724,8.721701e-06
IL_0977986,0.0001171371,0.9912669,2.8342123e-05,0.0035487525,8.186737e-06,1.628242e-05,0.00024780617,3.186928e-05,0.0036465018,0.0010833509,4.805149e-06
IL_0996202,4.3106816e-06,1.0055587e-05,0.00032247568,4.7666064e-05,0.0009946402,3.3060427e-05,8.549434e-05,0.005131395,0.993361,6.8809464e-07,9.30287e-06
IL_1009731,4.61544e-05,0.00015785488,5.7719035e-07,0.00048855046,9.3238543e-07,2.4936107e-06,6.076146e-07,8.040452e-06,6.0266907e-06,0.99928826,5.485436e-07
IL_1011664,0.14892296,0.00046059425,0.006190929,0.7302528,1.412066e-05,0.001495427,0.00030231828,0.11121655,0.0010756796,6.762789e-05,1.0564257e-06
IL_1020124,0.08348878,0.5427478,0.0069879824,0.0037345325,0.0011285768,0.065435715,0.00043934587,0.15026054,0.0003567656,0.14506994,0.00035008273
IL_1024284,0.0112377545,0.005106202,2.469742e-05,0.0030061172,7.5538824e-06,1.0787383e-05,2.2536677e-05,0.00023725115,4.6226825e-05,0.98029774,3.1460538e-06
IL_1024365,0.08319931,0.09562278,1.5121159e-06,0.81683946,1.9840454e-05,2.6652087e-06,8.1348835e-06,4.8103113e-05,1.8311265e-06,0.004256093,2.07273e-07
IL_1080907,0.3029961,0.16225041,1.1162702e-05,0.026069066,4.9708553e-05,6.57437e-05,6.1879815e-05,0.00048537168,1.7193206e-05,0.5079611,3.2168224e-05
IL_1159502,0.00042448056,0.9792366,1.1372723e-05,0.009739831,2.0818947e-05,2.9145394e-05,6.649064e-05,0.00013805683,6.961491e-05,0.010253986,9.458372e-06
IL_1183203,0.0049799564,0.9773393,6.303367e-05,0.008027208,0.000398338,0.00053162663,5.4426906e-05,3.456307e-05,0.0001287917,0.008433017,9.772231e-06
IL_1236220,0.0019226377,9.472981e-05,1.7388376e-05,0.00094746845,6.395369e-06,1.9223662e-05,4.0664504e-06,0.00021577241,4.634739e-05,0.9967083,1.7668002e-05
IL_1246958,0.0024130875,0.4095668,0.15768501,0.0012019994,0.0022438588,0.077447206,0.0005795316,0.009813474,0.20175649,0.0006567552,0.13663585
IL_1248470,0.32593355,0.05476287,0.008707231,0.019900242,0.00043052295,0.008321959,0.0033623993,0.5712101,0.00080724637,0.0065347715,2.908155e-05
IL_1266003,0.00018018323,0.025405575,0.006644216,0.0001662134,8.818137e-05,0.00034023105,0.0003494456,0.8957114,0.019459382,0.0043293247,0.047325768
IL_1298091,0.0077841305,0.59194934,0.0003733312,0.052194268,0.00017427784,0.0012537646,0.004912157,0.0089248335,0.33047193,0.0017371175,0.0002248648
IL_1418346,0.006261639,0.011580825,3.872313e-07,0.016897447,4.1435815e-06,3.9842926e-06,8.131181e-06,6.7211763e-06,1.9048299e-05,0.9652174,2.645775e-07
IL_1420891,5.0191748e-06,3.6044334e-05,0.0004462219,3.9944767e-05,7.5553144e-05,3.489831e-05,9.679023e-06,0.011360307,0.987834,4.4601273e-07,0.00015790704
IL_1431089,0.0069246655,0.040334668,0.00040420887,0.8852446,0.00025751756,6.179979e-05,0.00015775998,7.577453e-05,0.06539287,0.0011058573,4.0377214e-05
IL_1450991,0.023899425,0.016404295,3.6299957e-06,0.033961944,3.121855e-05,2.7005399e-05,1.9378898e-05,3.4954715e-05,1.795742e-05,0.9255973,2.8415477e-06
IL_1497560,0.035662465,0.3948646,0.00011101513,0.55621684,0.00053127675,0.0007704346,0.0005806496,0.0012640273,0.0059582028,0.004026776,1.3707852e-05
IL_1502550,3.8477985e-05,0.02393633,0.023479292,0.0023531958,0.85776657,0.026855402,0.00015256615,0.0010534425,0.06344002,0.0006596199,0.00026503592
IL_1515580,7.87123e-05,0.00021980435,9.6848125e-06,0.00027483277,0.0058383783,0.0013105007,4.6821256e-06,9.301841e-05,0.00041847528,0.9917475,4.472601e-06
IL_1562660,0.045017395,0.018457534,0.004035122,0.6799289,0.0005063977,0.013421264,0.0014108964,0.00848521,0.17052269,0.03689232,0.02132223
IL_1574123,0.007825893,0.0136723695,0.003473544,0.37242204,0.004484573,0.0010942435,0.0080432845,0.083556734,0.47630146,0.028800098,0.00032574523
IL_1619785,9.347671e-06,5.4904717e-06,9.8409364e-05,0.0030223415,4.7618096e-06,6.6244847e-06,3.466367e-05,0.48036796,0.5164484,8.638676e-07,1.1524525e-06
IL_1633612,0.00030109345,0.0016387928,1.9739073e-06,0.01047357,1.1516385e-05,7.984291e-06,4.974167e-06,0.00026313958,1.6357393e-05,0.98728,6.873957e-07
IL_1641818,0.03169713,0.003602305,0.0006803685,0.01198833,0.00011969222,0.0015536154,3.365543e-05,0.025973193,0.00015501115,0.9241886,8.063826e-06
IL_1643221,0.87801474,0.02599319,2.1359045e-05,0.089575686,0.0036007697,0.00027920443,5.0598705e-05,0.00037041033,0.00014184818,0.0019464054,5.839238e-06
IL_1664752,0.24675186,0.11585445,1.85936e-06,0.47252873,3.0467341e-05,1.0497069e-05,6.719811e-05,3.1106647e-05,0.00048937375,0.16423412,3.273051e-07
IL_1681515,0.046189785,0.08801201,0.00016335725,0.0029976408,0.00023421146,0.003176821,6.1168605e-05,0.0011019772,0.0001701033,0.857792,0.00010096931
IL_1688338,0.74284273,0.1342453,4.353196e-05,0.106759585,6.881069e-05,0.0011337032,0.00020607715,0.00031033353,0.0022680433,0.012117949,3.9616666e-06
IL_1706933,0.0007135883,0.7926718,6.69644e-05,0.00036147726,3.4218378e-05,0.0006549088,0.0001325153,0.00023930725,0.0023346315,0.20171507,0.0010754996
IL_1860067,0.18739107,0.7315116,9.6280906e-05,0.05393756,0.00022073288,0.00022241128,0.0017118163,0.00061628805,0.018554168,0.0057225996,1.54695e-05
IL_1884002,0.17283286,0.100769356,1.6634145e-05,0.69686407,0.0011482937,3.0117015e-05,0.000484591,0.00049396115,0.008892688,0.018437041,3.0363533e-05
