lesion_id,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
IL_0006205,0.07462919,0.5386538,0.0008273658,0.013253725,0.0002509957,0.002622595,0.00034733172,0.0009759253,0.0007061723,0.3676289,0.00010406733
IL_0025400,0.82414186,0.019842256,0.00094289926,0.0982511,0.00057851593,0.0018233737,3.6865422e-05,0.0022482725,0.0005652887,0.051483564,8.600002e-05
IL_0039001,0.016547779,0.050137263,0.17065294,0.08623588,0.055508576,0.29663074,0.003164998,0.08931894,0.19837764,0.0069131018,0.026512103
IL_0046799,0.053479042,0.009545054,3.7898906e-05,0.004132201,1.2726629e-05,4.872898e-06,9.53616e-06,0.0001332428,3.7740097e-05,0.9326026,5.1654924e-06
IL_0054262,0.0002502694,0.00050800067,0.011170171,0.0020072004,0.9098861,0.024668265,2.2003625e-05,0.014525616,0.035716273,3.3699387e-05,0.0012123035
IL_0056788,0.3537478,0.26603162,0.0034134833,0.099883996,0.00053562585,0.0015702014,0.0018893954,0.01440904,0.0013496308,0.2569396,0.00022953666
IL_0093956,0.015373471,0.44655135,0.029520746,0.00531286,0.0092029665,0.44928932,0.00084315403,0.0067412746,0.002546333,0.033502527,0.0011160105
IL_0103904,0.16467875,0.22769439,0.00046080517,0.03492804,9.459996e-05,0.00015446547,0.00028538314,0.0016769891,0.0022638587,0.56768835,7.428246e-05
IL_0118369,3.7175745e-05,4.6263052e-05,0.005010721,0.0065606236,0.00015505354,7.983817e-05,3.179446e-05,0.036417987,0.95133895,4.201821e-06,0.00031744156
IL_0151990,0.0003837029,0.0004399677,0.0039511677,0.007288604,0.00050097995,0.00012281579,0.00013897501,0.37463254,0.61196357,5.4532553e-05,0.00052313454
IL_0171236,0.07233071,0.12546496,0.07220523,0.017326169,0.027029527,0.029657174,0.0017174997,0.04527683,0.0059636775,0.56540155,0.03762672
IL_0183960,0.004251756,0.018941516,0.29526985,0.0019790195,0.0036767325,0.08392732,0.007950973,0.0824224,0.20792912,0.009053408,0.2845979
IL_0207706,0.00030050628,0.00050039147,0.0017181841,0.007584306,3.659188e-05,3.275233e-05,0.00011245453,0.98515826,0.0044989125,3.3608136e-05,2.4021994e-05
IL_0207891,0.2791954,0.32210517,0.0017738751,0.26704448,0.004522523,0.0013397831,0.0014262799,0.0047408994,0.0041001663,0.11338732,0.00036416977
IL_0225203,0.008484664,0.47687754,0.0056874487,0.35699147,0.005141743,0.0026919101,0.0054014632,0.069040544,0.06480473,0.0032696512,0.001608742
IL_0227635,0.87979347,0.01662619,0.00058139453,0.066322125,0.0001528466,0.00021809906,6.707224e-05,0.005576485,0.00029802546,0.030323002,4.1299314e-05
IL_0259815,0.041932482,0.003324268,0.016280439,0.7708691,6.7242676e-05,0.0002224321,0.00016819865,0.14812526,0.018508,0.00047637246,2.6219966e-05
IL_0260810,0.09719887,0.70801157,0.022652652,0.011469732,0.0006588969,0.0042284755,0.012840193,0.05150137,0.008676766,0.06513563,0.017625924
IL_0262469,0.16066512,0.0012560553,0.006290041,0.7966986,7.2830524e-05,0.00049319066,3.4728393e-05,0.03219696,0.00059036934,0.0016925217,9.61887e-06
IL_0267598,0.015739009,0.0049426984,0.038566086,0.18479237,0.0007708504,0.0009716521,0.001996129,0.17323707,0.57748985,0.00084331527,0.0006509282
IL_0312376,0.29482606,0.44181895,0.0033081733,0.19201487,0.0015948921,0.0052457564,0.003507659,0.0067905984,0.0053928685,0.045019813,0.00048024184
IL_0331012,0.12321068,0.3648729,0.029282747,0.25212142,0.009611901,0.032669097,0.011636741,0.08620974,0.019064687,0.0693783,0.0019417332
IL_0344325,0.00585428,0.013197993,0.24356112,0.016130583,0.100345545,0.44370282,0.0018449669,0.07868074,0.07509865,0.0023750558,0.019208217
IL_0403731,0.06193981,0.0060549416,1.4391976e-05,0.07518049,1.0754121e-05,3.0574736e-06,4.330925e-06,0.00022280517,2.4646612e-05,0.8565438,1.0056434e-06
IL_0404181,0.22589916,0.43885386,0.0021245854,0.26696432,0.00037807232,0.0010119786,0.0044726776,0.015349981,0.003159803,0.04153779,0.00024777453
