lesion_id,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
IL_0006205,0.11708011,0.21014872,0.0005880254,0.038024366,0.0011193635,0.0016357827,0.00013098354,0.00081792724,0.0016743506,0.6274191,0.0013613191
IL_0025400,0.8985549,0.0047257226,8.399113e-05,0.0828842,0.00073861564,0.0012432192,6.347487e-06,0.0008340536,0.00040466312,0.010171935,0.0003523316
IL_0039001,0.0027499497,0.0564742,0.008197727,0.019581094,0.007005958,0.49292132,0.00042114913,0.10446044,0.28743705,0.0016976121,0.019053511
IL_0046799,0.025775023,0.0045885756,1.0656235e-05,0.0034586953,4.740499e-05,1.1557805e-05,6.4390374e-06,9.509318e-05,0.000102548205,0.9658166,8.754815e-05
IL_0054262,0.00075181166,0.0011707409,0.00092800485,0.0010184124,0.9065065,0.036291923,9.079854e-06,0.011747663,0.03854407,8.696421e-05,0.002944867
IL_0056788,0.52637434,0.15792164,0.008775156,0.11026356,0.0036924744,0.0047260677,0.001941457,0.020741466,0.0034829294,0.16123179,0.00084910623
IL_0093956,0.00443677,0.11519552,0.04763221,0.0016870669,0.0006286761,0.8196605,6.1515966e-05,0.0023374383,0.0010836283,0.004772061,0.0025045597
IL_0103904,0.43558905,0.27001363,0.0010717462,0.02431761,0.0004201239,0.0010262049,3.291625e-05,0.0008295511,0.0034986194,0.2627018,0.00049868727
IL_0118369,0.00022643825,0.00019905654,0.0015437573,0.007647479,0.00083579693,0.000989035,2.3459546e-05,0.25220826,0.7315343,1.5762314e-05,0.0047766054
IL_0151990,0.0002575472,0.00019832642,0.0012133758,0.0016923338,0.0005866722,0.00037888443,1.8679073e-05,0.7572756,0.23580965,1.557207e-05,0.002553348
IL_0171236,0.07202354,0.05879132,0.004210885,0.0046900166,0.102465846,0.1360757,0.00045109232,0.010936972,0.014223537,0.53921,0.05692116
IL_0183960,0.0029673697,0.046353593,0.12140619,0.00093305216,0.0018337958,0.11914257,0.0041412613,0.059637863,0.29869276,0.0014349284,0.34345657
IL_0207706,0.0003182881,0.0010318082,0.0019689684,0.0076157684,7.333182e-05,0.0002659399,0.00031421863,0.9854842,0.002753258,4.4081142e-05,0.00013012337
IL_0207891,0.33380157,0.151325,0.00080406864,0.22485392,0.0030248195,0.00086179114,0.00027819062,0.001795871,0.0014654577,0.2806806,0.001108759
IL_0225203,0.010200944,0.25277448,0.0014318269,0.37560475,0.02332173,0.0071428367,0.0022462858,0.16113496,0.13704833,0.0008303727,0.028263472
IL_0227635,0.8840634,0.006545801,0.00013557919,0.080481075,0.00049192697,0.0006830991,4.471447e-05,0.0014455244,0.0003186503,0.02535829,0.00043186225
IL_0259815,0.06590424,0.0070448006,0.09716413,0.39679864,0.0001764528,0.0006025303,0.00417095,0.40475804,0.020607494,0.001787869,0.0009848215
IL_0260810,0.09308209,0.77369124,0.0057959147,0.01718308,0.0025590437,0.005450621,0.0085639395,0.013576638,0.0055414266,0.0444033,0.030152673
IL_0262469,0.30834398,0.0020105338,0.0017365405,0.674801,6.1819366e-05,0.0007156596,0.0001900361,0.0071630483,0.00020885796,0.004683189,8.524671e-05
IL_0267598,0.09353201,0.012178059,0.010299341,0.36262378,0.0016464869,0.00063963665,0.062100627,0.1783403,0.25585964,0.018978331,0.003801823
