lesion_id,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
IL_0006205,0.3766865,0.36577153,4.3542314e-05,0.038178194,0.00022356096,4.7746867e-05,4.2862754e-05,0.00047355946,0.0003748243,0.21815054,7.1083045e-06
IL_0025400,0.44442287,0.07025968,0.005663922,0.3712834,0.0056548896,0.013767342,5.4132102e-05,0.011150912,0.0050307554,0.07228653,0.0004254686
IL_0039001,0.02804151,0.09845991,0.007198216,0.39101997,0.013037697,0.05042519,0.0004418833,0.033208534,0.33794257,0.011588098,0.028636403
IL_0046799,0.059178535,0.011969545,9.989284e-06,0.018038146,3.3533466e-05,3.1156735e-06,1.966837e-05,0.00023828697,0.0011389902,0.90935314,1.7018196e-05
IL_0054262,0.0087816585,0.009356188,0.19330199,0.04969362,0.04647971,0.024029436,2.8998216e-05,0.15650424,0.5012317,0.00048644707,0.010106042
IL_0056788,0.72598594,0.10771339,3.4883047e-05,0.027465262,0.00013493958,0.00030443718,3.05052e-05,0.0006079457,0.0006564046,0.13704324,2.3102904e-05
IL_0093956,0.019427339,0.2770923,0.00955135,0.006980374,0.0003046302,0.6560229,2.4106772e-05,0.0010936625,0.0029456685,0.026160762,0.00039690954
IL_0103904,0.55799145,0.36554956,0.00030572506,0.039568584,0.00015455685,0.000651892,0.00016860201,0.004655559,0.00133669,0.029542921,7.440676e-05
IL_0118369,0.00025633225,0.00021296296,0.0005469923,0.0064354157,5.704614e-05,0.000100865946,4.7823305e-06,0.13025795,0.8618378,7.681266e-05,0.00021304259
IL_0151990,0.0017747467,9.194159e-05,0.0025898952,0.029931836,8.710922e-06,3.4104243e-05,1.7104175e-06,0.54795283,0.41748637,5.8975318e-05,6.8902125e-05
IL_0171236,0.04445839,0.20866877,0.086970896,0.010992345,0.14822917,0.050315607,0.00014063471,0.38732633,0.014148688,0.026843155,0.021906113
IL_0183960,0.027698519,0.8818251,0.024307571,0.013917514,0.0013626729,0.010556731,0.0047221426,0.019394724,0.007837305,0.008216735,0.00016098228
IL_0207706,0.0008537788,8.877797e-05,0.0036249957,0.018348338,2.7614566e-05,3.455777e-05,3.7420682e-06,0.79463583,0.18231975,2.361438e-05,3.9038605e-05
IL_0207891,0.17189544,0.040893197,1.3144413e-05,0.18731706,0.00040093015,8.193253e-06,3.4190587e-05,0.00024521694,0.0023874436,0.59678775,1.7469507e-05
IL_0225203,0.14144437,0.12659745,0.0017650865,0.67250353,0.0002176965,0.00022394111,0.0037429135,0.012361166,0.029909655,0.010811243,0.0004229946
IL_0227635,0.42033857,0.082633786,0.0004068627,0.45773324,0.0002887271,0.00055973296,0.00034551762,0.019868087,0.008106868,0.009602938,0.00011559734
IL_0259815,0.0067210076,0.010759372,0.056346465,0.73225117,0.00020331814,4.6534373e-05,0.009813556,0.135229,0.041693468,0.006852185,8.3884814e-05
IL_0260810,0.011974249,0.8662144,0.0061863936,0.0054764445,0.0002582706,0.011495345,0.00062076433,0.0064155334,0.014241922,0.0769037,0.00021298944
IL_0262469,0.12789597,0.037062045,0.021049874,0.7360898,0.0006224162,0.000283043,0.00018283214,0.033459585,0.04020243,0.0030997174,5.23101e-05
IL_0267598,0.097912155,0.012420617,0.003783371,0.25426638,0.0029949942,0.00046475936,0.0033657574,0.06897911,0.5303879,0.025025332,0.00039962857
IL_0312376,0.09716555,0.6461977,0.00040141313,0.22378993,0.00082934136,0.001780156,0.0008234166,0.009898914,0.006709672,0.012042426,0.00036148427
IL_0331012,0.019942326,0.08589849,0.07556033,0.1073364,0.023618318,0.1095922,0.0006212287,0.24974595,0.29365873,0.03346704,0.0005589954
IL_0344325,0.010616388,0.040069755,0.11569327,0.019131128,0.0058446764,0.7903821,1.5674627e-06,0.003702977,0.010590031,0.0014659985,0.00250211
IL_0403731,0.056045316,0.006509839,3.0982021e-06,0.028026642,2.442178e-05,4.1184094e-06,1.2460317e-06,8.270019e-05,0.00010158299,0.9091984,2.7336064e-06
IL_0404181,0.24120276,0.5531169,0.00018051108,0.15777372,0.0010622578,0.00057208276,0.0011535621,0.0051634028,0.0036174848,0.035869364,0.0002880114
IL_0465184,0.028396726,0.7717739,0.00011804227,0.16506481,0.0076042083,0.00015232162,1.575983e-05,0.00017430747,0.0018560059,0.02483407,9.8684595e-06
IL_0492696,0.00080831954,0.0011688612,0.009628789,0.022717739,0.0014005497,0.00045649454,6.2620056e-05,0.21822338,0.7450016,0.00013008382,0.00040147622
IL_0560781,0.0086613465,0.006404176,0.04417295,0.053232774,0.60530883,0.055120885,4.9119306e-05,0.14007713,0.08226534,0.0044279885,0.00027938338
IL_0575017,0.06433508,0.004773998,0.0023494812,0.49993414,0.00024870096,0.0011125837,0.0002571517,0.055561442,0.3704092,0.00068510737,0.00033319945
IL_0578791,0.2404644,0.3126588,0.014133194,0.059239395,0.00021901635,0.00043131647,8.009081e-05,0.25864083,0.03588797,0.0781834,6.1647974e-05
IL_0611781,0.014037581,0.72723633,0.014108917,0.0074032233,0.0002056291,0.00013030853,0.0001747163,0.050291292,0.0011277505,0.18503976,0.00024448932
IL_0649132,0.008106072,0.015984783,0.026568912,0.8716125,0.00075178867,0.00016489583,0.008550157,0.012404786,0.0428004,0.01282605,0.00022963491
IL_0704269,0.042587455,0.3643103,0.026856825,0.13701881,0.008295708,0.093112215,1.5805812e-05,0.0017070866,0.010003368,0.31528035,0.00081211276
IL_0718371,0.049168777,0.039562706,0.0009161632,0.043592352,0.00024616046,0.00044412533,1.052765e-05,0.0035391022,0.0023178852,0.86011875,8.349366e-05
IL_0721442,0.36238027,0.119052544,0.00025261033,0.08358146,0.00020518672,0.00013108262,0.00010137069,0.0011624253,0.0032579375,0.42980734,6.7769244e-05
IL_0754056,0.3448611,0.2266663,0.0004721932,0.20083152,0.00015274604,0.00017461886,2.3765464e-05,0.078089766,0.0008381714,0.14784795,4.1894866e-05
IL_0808321,0.0018783901,0.0002442946,0.0100712655,0.04589797,8.174163e-05,0.0061551137,4.124772e-05,0.50112593,0.43442842,3.7511985e-05,3.8030397e-05
IL_0854378,0.18957017,0.45994443,0.00088675495,0.14891547,0.00011982671,0.0056646904,4.434948e-06,0.0048809173,0.0444506,0.14526334,0.0002994093
